Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","040","Austria","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","8891","X","Figure from international organizations"
"FBS","Food Balances (2010-)","056","Belgium","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","11482","X","Figure from international organizations"
"FBS","Food Balances (2010-)","250","France","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","66931","X","Figure from international organizations"
"FBS","Food Balances (2010-)","276","Germany","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","83124","X","Figure from international organizations"
"FBS","Food Balances (2010-)","442","Luxembourg","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","604","X","Figure from international organizations"
"FBS","Food Balances (2010-)","528","Netherlands","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","17060","X","Figure from international organizations"
"FBS","Food Balances (2010-)","756","Switzerland","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","8526","X","Figure from international organizations"
