Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","012","Algeria","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","42228","X","Figure from international organizations"
"FBS","Food Balances (2010-)","818","Egypt","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","98424","X","Figure from international organizations"
"FBS","Food Balances (2010-)","434","Libya","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","6679","X","Figure from international organizations"
"FBS","Food Balances (2010-)","504","Morocco","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","36029","X","Figure from international organizations"
"FBS","Food Balances (2010-)","729","Sudan","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","41802","X","Figure from international organizations"
"FBS","Food Balances (2010-)","788","Tunisia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","11565","X","Figure from international organizations"
